period;cod_cod;cod_id;cod_name;city;stratum;year;semester;school_state;school_city;faculty;program;cod_snies;knowledge_area;shift;age;civil_status;gender;residence_zone;foreign;school_name;school_calendar;school_character;school_language;school_methodology;academic_aid;financial_aid;other_aid;study_and_work;age_mod;cantidad_matriculas;Cluster
2019-01;12383C;1050U;3707N;popayan;2;2019;1;cauca;popayan;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;18;soltero;M;urbana;no;fundacion educativa gabriel garcia marquez;a;mixto;espanol;educacion tradicional;si;no;no;no;15-20;1;1
2009-03;715C;10510U;966N;cali;6;2009;2;valle del cauca;cali;humanities and arts;comunicacion publicitaria;20128;ciencias sociales y humanas;diurna;20;soltero;M;nd;no;instituto la campina;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2010-01;1209C;10511U;5856N;cali;2;2010;1;valle del cauca;cali;Administrative Sciences;contaduria publica;20109;economia administracion contaduria y afines;nocturna;21;soltero;M;nd;no;colegio san antonio maria claret;nd;nd;nd;nd;nd;nd;nd;nd;21-25;1;0
2009-01;333C;10512U;1530N;cali;4;2009;1;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;diurna;20;soltero;F;nd;no;colegio mayor san antonio de padua;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2010-01;1347C;10513U;11483N;cali;3;2010;1;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;diurna;21;soltero;F;nd;no;centro educativo comfandi miraflores;nd;nd;nd;nd;nd;nd;nd;nd;21-25;1;0
2011-03;2807C;10514U;16919N;cali;3;2011;2;valle del cauca;cali;Engineering;ingenieria mecanica;20096;ingenieria arquitectura urbanismo y afines;diurna;22;soltero;M;nd;no;colegio los andes cali;a;mixto;nd;nd;nd;nd;nd;nd;21-25;2;0
2009-03;607C;10515U;16463N;cali;5;2009;2;valle del cauca;cali;humanities and arts;diseno de la comunicacion grafica;20118;bellas artes;diurna;20;soltero;M;nd;no;colegio catolico;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2011-01;2126C;10516U;4464N;cali;4;2011;1;valle del cauca;cali;Engineering;ingenieria industrial;20095;ingenieria arquitectura urbanismo y afines;nocturna;22;soltero;M;nd;nd;colegio americano cali;b;mixto;nd;nd;nd;nd;nd;nd;21-25;1;0
2015-03;7234C;10517U;3197N;puerto tejada;2;2015;2;valle del cauca;cali;Administrative Sciences;contaduria publica;20109;economia administracion contaduria y afines;nocturna;26;soltero;F;nd;no;colegio santa mariana de jesus cali;b;femenino;nd;nd;nd;nd;nd;nd;26-40;1;1
2009-01;377C;10518U;17213N;cali;2;2009;1;valle del cauca;cali;Engineering;ingenieria electronica y telecomunicaciones;20108;ingenieria arquitectura urbanismo y afines;diurna;20;soltero;M;nd;no;colegio santa isabel de hungria sede alfonso lopez;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2019-03;13119C;1051U;16090N;popayan;4;2019;2;cauca;popayan;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;diurna;18;soltero;M;urbana;no;colegio los andes popayan;b;mixto;espanol;educacion tradicional;si;si;no;no;15-20;1;1
2009-03;507C;10522U;3176N;jamundi;3;2009;2;valle del cauca;jamundi;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;nocturna;22;soltero;F;nd;no;institucion educativa cacique jamundi litecom;nd;nd;nd;nd;nd;nd;nd;nd;21-25;1;1
2009-01;413C;10523U;9532N;cali;4;2009;1;valle del cauca;cali;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;21;soltero;M;nd;no;colegio miguel angel buonarrotti cali;nd;nd;nd;nd;nd;nd;nd;nd;21-25;1;0
2013-01;4582C;10525U;13909N;cali;6;2013;1;valle del cauca;cali;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;24;soltero;F;nd;no;instituto comercial del valle incoval;b;mixto;nd;nd;nd;nd;nd;nd;21-25;1;0
2013-01;4146C;10526U;724N;cali;3;2013;1;valle del cauca;cali;humanities and arts;comunicacion publicitaria;20128;ciencias sociales y humanas;diurna;24;soltero;F;nd;no;colegio parroquial divino salvador;a;mixto;nd;nd;nd;nd;nd;nd;21-25;1;0
2010-01;1110C;10527U;7422N;cali;3;2010;1;valle del cauca;jamundi;Administrative Sciences;contaduria publica;20109;economia administracion contaduria y afines;nocturna;21;soltero;F;nd;no;gimnasio moderno del valle;nd;nd;nd;nd;nd;nd;nd;nd;21-25;1;0
2013-01;4184C;10528U;5759N;cali;5;2013;1;valle del cauca;cali;humanities and arts;cine y comunicacion digital;54405;bellas artes;diurna;24;soltero;M;nd;no;colegio franciscano de pio xii;b;masculino;nd;nd;nd;nd;nd;nd;21-25;1;0
2012-01;2959C;10529U;5287N;jamundi;2;2012;1;valle del cauca;cali;humanities and arts;diseno de la comunicacion grafica;20118;bellas artes;diurna;22;soltero;M;nd;no;colegio bilingue montessori;b;mixto;nd;nd;nd;nd;nd;nd;21-25;1;0
2011-01;2240C;10530U;2502N;cali;3;2011;1;valle del cauca;cali;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;22;soltero;M;nd;no;colegio politecnico superior del valle cali;nd;nd;nd;nd;nd;nd;nd;nd;21-25;1;0
2010-03;1779C;10531U;8680N;cali;6;2010;2;valle del cauca;zarzal;Administrative Sciences;administracion de empresas;20127;economia administracion contaduria y afines;nocturna;21;soltero;M;nd;no;escuela normal superior nuestra senora de las mercedes zarzal;nd;nd;nd;nd;nd;nd;nd;nd;21-25;1;0
